Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Detroit,Weekly,"2017-05-28 00:00:00",Organic,1.640000000,18393.50,529.19,4739.85,0.00,13124.46,1096.93,12027.53,0.00
"Grand Rapids",Weekly,"2017-05-28 00:00:00",Organic,2.440000000,1388.02,2.91,943.60,0.00,441.51,418.89,22.62,0.00
"Great Lakes",Weekly,"2017-05-28 00:00:00",Organic,1.720000000,160659.80,3907.75,78127.32,0.00,78624.73,32403.80,46220.93,0.00
Harrisburg/Scranton,Weekly,"2017-05-28 00:00:00",Organic,2.190000000,9934.41,442.85,290.99,15.52,9185.05,9185.05,0.00,0.00
Hartford/Springfield,Weekly,"2017-05-28 00:00:00",Organic,2.670000000,12930.59,148.98,4613.70,57.94,8109.97,8109.97,0.00,0.00
Houston,Weekly,"2017-05-28 00:00:00",Organic,1.190000000,44588.87,11166.37,16.15,0.00,33406.35,33339.07,67.28,0.00
Indianapolis,Weekly,"2017-05-28 00:00:00",Organic,1.520000000,5391.50,153.14,1467.48,0.00,3770.88,1800.43,1970.45,0.00
Jacksonville,Weekly,"2017-05-28 00:00:00",Organic,2.090000000,5786.49,1322.11,165.26,6.12,4293.00,4070.95,222.05,0.00
"Las Vegas",Weekly,"2017-05-28 00:00:00",Organic,1.740000000,9789.43,1872.87,2730.95,1.28,5184.33,943.54,4240.79,0.00
"Los Angeles",Weekly,"2017-05-28 00:00:00",Organic,1.370000000,122886.52,11731.80,29593.14,0.00,81561.58,81486.37,75.21,0.00
Louisville,Weekly,"2017-05-28 00:00:00",Organic,1.320000000,4451.69,0.00,1185.02,0.00,3266.67,763.33,2503.34,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-05-28 00:00:00",Organic,1.880000000,6000.97,1096.73,86.78,0.00,4817.46,4815.63,1.83,0.00
Midsouth,Weekly,"2017-05-28 00:00:00",Organic,1.910000000,129046.19,4061.50,52094.56,1610.71,71279.42,36140.30,35139.12,0.00
Nashville,Weekly,"2017-05-28 00:00:00",Organic,1.160000000,8676.66,435.62,2257.51,0.00,5983.53,341.21,5642.32,0.00
"New Orleans/Mobile",Weekly,"2017-05-28 00:00:00",Organic,1.880000000,2367.07,367.18,0.00,0.00,1999.89,1694.74,305.15,0.00
"New York",Weekly,"2017-05-28 00:00:00",Organic,2.380000000,76002.26,6137.98,30135.14,629.90,39099.24,38971.17,128.07,0.00
Northeast,Weekly,"2017-05-28 00:00:00",Organic,2.180000000,194487.92,11400.57,47209.92,636.96,135240.47,124037.53,11202.94,0.00
"Northern New England",Weekly,"2017-05-28 00:00:00",Organic,1.670000000,18289.39,12.99,299.98,0.00,17976.42,17976.42,0.00,0.00
Orlando,Weekly,"2017-05-28 00:00:00",Organic,1.800000000,8624.25,1830.55,174.17,0.00,6619.53,4830.70,1788.83,0.00
Philadelphia,Weekly,"2017-05-28 00:00:00",Organic,2.220000000,15955.26,2251.74,6632.02,7.74,7063.76,7043.24,20.52,0.00
Phoenix/Tucson,Weekly,"2017-05-28 00:00:00",Organic,1.940000000,9976.29,3632.08,3316.00,0.00,3028.21,729.36,2298.85,0.00
Pittsburgh,Weekly,"2017-05-28 00:00:00",Organic,1.540000000,6743.84,963.37,8.77,0.00,5771.70,5740.50,31.20,0.00
Plains,Weekly,"2017-05-28 00:00:00",Organic,1.630000000,71551.35,3682.02,22151.54,194.47,45523.32,24299.08,21224.24,0.00
Portland,Weekly,"2017-05-28 00:00:00",Organic,1.140000000,61244.50,2592.01,9302.65,31.96,49317.88,166.04,49151.84,0.00
Raleigh/Greensboro,Weekly,"2017-05-28 00:00:00",Organic,2.550000000,10273.69,315.52,5326.02,364.99,4267.16,2844.43,1422.73,0.00
Richmond/Norfolk,Weekly,"2017-05-28 00:00:00",Organic,1.600000000,12214.35,771.94,4134.06,160.29,7148.06,2792.14,4355.92,0.00
Roanoke,Weekly,"2017-05-28 00:00:00",Organic,1.370000000,11900.47,297.27,2385.12,0.00,9218.08,2087.45,7130.63,0.00
Sacramento,Weekly,"2017-05-28 00:00:00",Organic,2.460000000,6662.68,2305.34,3465.79,0.00,891.55,882.17,9.38,0.00
"San Diego",Weekly,"2017-05-28 00:00:00",Organic,1.910000000,17421.67,843.78,9946.37,1.66,6629.86,6629.86,0.00,0.00
"San Francisco",Weekly,"2017-05-28 00:00:00",Organic,2.730000000,24852.33,10640.43,10979.17,8.75,3223.98,3201.30,22.68,0.00
Seattle,Weekly,"2017-05-28 00:00:00",Organic,1.460000000,59377.00,2231.32,12440.49,0.00,44705.19,335.10,44370.09,0.00
"South Carolina",Weekly,"2017-05-28 00:00:00",Organic,1.970000000,8937.30,790.46,4574.28,201.95,3370.61,953.24,2417.37,0.00
"South Central",Weekly,"2017-05-28 00:00:00",Organic,1.190000000,187973.68,32930.32,18293.40,0.00,136749.96,131941.91,4808.05,0.00
Southeast,Weekly,"2017-05-28 00:00:00",Organic,1.810000000,84319.76,11588.66,17819.29,279.21,54632.60,29944.08,24688.52,0.00
Spokane,Weekly,"2017-05-28 00:00:00",Organic,1.480000000,5870.75,349.55,1639.55,16.65,3865.00,66.66,3798.34,0.00
"St. Louis",Weekly,"2017-05-28 00:00:00",Organic,1.900000000,7251.55,1901.01,1675.52,1.74,3673.28,1672.25,2001.03,0.00
Syracuse,Weekly,"2017-05-28 00:00:00",Organic,2.090000000,3299.38,0.00,198.97,0.00,3100.41,1083.38,2017.03,0.00
Tampa,Weekly,"2017-05-28 00:00:00",Organic,1.790000000,7101.20,1104.19,125.33,0.00,5871.68,4797.54,1074.14,0.00
West,Weekly,"2017-05-28 00:00:00",Organic,1.480000000,276578.14,64107.88,52767.88,461.27,159241.11,22367.60,136873.51,0.00
